,costo,dim,gap,heuristica,instancia,tiempo
214,15368.0,105.0,0.06878086097781487,FI,lin105,4.29796
215,119692.0,76.0,0.10663005390212557,FI,pr76,2.70943
216,45872.0,107.0,0.03541520890233167,FI,pr107,4.47833
217,66592.0,124.0,0.12810435371844825,FI,pr124,11.3051
218,105111.0,136.0,0.08617161989005084,FI,pr136,6.38145
219,61974.0,144.0,0.05871500076874456,FI,pr144,9.04453
220,75396.0,152.0,0.023262126435221627,FI,pr152,15.9586
221,1330.0,99.0,0.09826589595375723,FI,rat99,3.52897
222,2631.0,195.0,0.13258717176065432,FI,rat195,15.8076
223,8944.0,100.0,0.1307206068268015,FI,rd100,6.99439
224,21955.0,175.0,0.025599103097117767,FI,si175,9.90246
225,712.0,70.0,0.054814814814814816,FI,st70,2.37689
226,1406.0,42.0,0.1044776119402985,FI,swiss42,0.719816
227,46811.0,159.0,0.1124287072243346,FI,u159,13.9477
228,7023.0,16.0,0.023910190989940225,FI,ulysses16,0.061596
229,7224.0,22.0,0.03008698132040496,FI,ulysses22,0.126061
230,13926.0,48.0,0.3103123823861498,AGM,att48,0.071502
231,2193.0,29.0,0.362111801242236,AGM,bayg29,0.024759
232,2677.0,29.0,0.32524752475247526,AGM,bays29,0.051829
233,10402.0,52.0,0.379209758684699,AGM,berlin52,0.06135
234,155472.0,127.0,0.31441808559205964,AGM,bier127,0.532629
235,30336.0,58.0,0.1945658594211459,AGM,brazil58,0.116487
236,118860.0,180.0,59.95384615384615,AGM,brg180,0.443433
237,4003.0,14.0,0.2046343665362624,AGM,burma14,0.02969
238,8279.0,130.0,0.35499181669394436,AGM,ch130,0.262253
239,9315.0,150.0,0.42693014705882354,AGM,ch150,0.391028
240,19347.0,198.0,0.22604562737642586,AGM,d198,0.453063
241,916.0,42.0,0.3104434907010014,AGM,dantzig42,0.083466
242,605.0,51.0,0.42018779342723006,AGM,eil51,0.096742
243,731.0,76.0,0.3587360594795539,AGM,eil76,0.226458
244,1136.0,26.0,0.21237993596584845,AGM,fri26,0.021379
245,2352.0,17.0,0.12805755395683452,AGM,gr17,0.01931
246,3738.0,21.0,0.38086442556335426,AGM,gr21,0.021902
247,1641.0,24.0,0.29009433962264153,AGM,gr24,0.015857
248,7187.0,48.0,0.42429647245342844,AGM,gr48,0.089195
249,75225.0,96.0,0.3625495843069065,AGM,gr96,0.21927
250,9919.0,120.0,0.4288389513108614,AGM,gr120,0.397632
