instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
bays29,29,TS-C,42.9772,2020,0.0,100,100,80
bays29,29,TS-C,64.4287,2026,0.0029702970297029703,200,50,80
bays29,29,TS-C,64.922,2020,0.0,200,100,80
bays29,29,TS-C,66.1084,2020,0.0,200,200,80
bays29,29,TS-C,112.897,2020,0.0,500,50,80
bays29,29,TS-C,113.493,2020,0.0,500,100,80
bays29,29,TS-C,115.216,2020,0.0,500,200,80
bays29,29,TS-C,113.297,2020,0.0,500,500,80
bays29,29,TS-C,182.864,2026,0.0029702970297029703,1000,50,80
bays29,29,TS-C,195.165,2020,0.0,1000,100,80
bays29,29,TS-C,212.91,2020,0.0,1000,200,80
bays29,29,TS-C,204.435,2020,0.0,1000,500,80
bays29,29,TS-C,198.489,2020,0.0,1000,1000,80
bays29,29,TS-C,23.3198,2039,0.009405940594059406,50,50,100
bays29,29,TS-C,42.3967,2026,0.0029702970297029703,100,50,100
bays29,29,TS-C,22.6143,2026,0.0029702970297029703,100,100,100
bays29,29,TS-C,60.074,2026,0.0029702970297029703,200,50,100
bays29,29,TS-C,56.6915,2026,0.0029702970297029703,200,100,100
bays29,29,TS-C,56.123,2026,0.0029702970297029703,200,200,100
bays29,29,TS-C,98.1351,2026,0.0029702970297029703,500,50,100
bays29,29,TS-C,118.625,2026,0.0029702970297029703,500,100,100
bays29,29,TS-C,93.9499,2026,0.0029702970297029703,500,200,100
bays29,29,TS-C,112.029,2026,0.0029702970297029703,500,500,100
bays29,29,TS-C,165.984,2026,0.0029702970297029703,1000,50,100
bays29,29,TS-C,203.79,2026,0.0029702970297029703,1000,100,100
bays29,29,TS-C,231.492,2026,0.0029702970297029703,1000,200,100
bays29,29,TS-C,201.994,2026,0.0029702970297029703,1000,500,100
bays29,29,TS-C,186.974,2026,0.0029702970297029703,1000,1000,100
berlin52,52,TS-C,49.5687,8109,0.07517899761336516,50,50,10
berlin52,52,TS-C,83.133,7862,0.042429063908777515,100,50,10
berlin52,52,TS-C,71.7353,7991,0.05953328029700345,100,100,10
berlin52,52,TS-C,123.014,8072,0.07027313709891275,200,50,10
berlin52,52,TS-C,120.842,7765,0.02956775391142933,200,100,10
berlin52,52,TS-C,124.923,7834,0.03871652081675948,200,200,10
